day,mont,year,credited,debited,type,week_day,perc_remain
30,8,2021,9648926.314,7399882.167,N,1,0.233087504
31,8,2021,14714195.77,10866196.68,P,2,0.2615161
1,9,2021,10895609.43,8072256.033,N,3,0.259127626
2,9,2021,10868688.75,8437267.083,N,4,0.223708832
3,9,2021,10309659.74,8198241.945,N,5,0.20479995
4,9,2021,3109360.545,1772363.312,N,6,0.429991059
5,9,2021,71915.8316,-80210.175,N,7,2.11533404
6,9,2021,11332363.2,8736374.06,N,1,0.229077474
7,9,2021,10723339.29,8529592.667,N,2,0.204576817
8,9,2021,8748923.598,6755178.59,N,3,0.227884606
9,9,2021,12511223.75,9784859.507,N,4,0.217913475
10,9,2021,1826762.66,697924.0383,N,5,0.617944874
11,9,2021,202468.9304,-46800.475,N,6,1.231148922
12,9,2021,63509.02148,-41662.65238,N,7,1.656011562
13,9,2021,12772000.13,10133367.99,N,1,0.20659506
14,9,2021,10083199.78,7789052.919,N,2,0.22752171
15,9,2021,12444323.66,10238400.15,P,3,0.177263431
16,9,2021,10669759.29,8397075.986,N,4,0.213002303
17,9,2021,11471112.99,9291154.364,N,5,0.190038981
18,9,2021,3519113.948,2240096.173,N,6,0.36344881
19,9,2021,72834.29862,-58315.75438,N,7,1.800663362
20,9,2021,12388066.54,10266724.37,N,1,0.171240779
21,9,2021,10671096.49,8468864.91,N,2,0.206373505
22,9,2021,10366767.79,8433076.117,N,3,0.186527923
23,9,2021,11027412.3,8362389.612,N,4,0.241672535
24,9,2021,12727662.9,10258690.85,N,5,0.193984715
25,9,2021,238389.2021,-72409.45552,N,6,1.303744695
26,9,2021,71830.36876,-41113.07119,N,7,1.57236336
27,9,2021,13223179.43,10506827.38,N,1,0.205423519
28,9,2021,12521624.2,10079600.6,N,2,0.195024508
29,9,2021,16276418.35,13280642.2,N,3,0.184056227
30,9,2021,22354026.96,17561510.66,P,4,0.214391631
1,10,2021,16366823.17,12872103.99,N,5,0.213524588
2,10,2021,191305.5555,-125592.6747,N,6,1.656503019
3,10,2021,73601.28212,-83876.8645,N,7,2.139611459
4,10,2021,12706936.47,10034750.54,N,1,0.210293483
5,10,2021,10474452.45,7773964.876,N,2,0.257816586
6,10,2021,9736799.424,7235801.374,N,3,0.256860385
7,10,2021,10572223.29,7999426.467,N,4,0.243354378
8,10,2021,10551369.73,7772140.302,N,5,0.263399871
9,10,2021,260479.1857,-113169.5902,N,6,1.434466923
10,10,2021,83417.53993,-65828.10755,N,7,1.789139881
11,10,2021,11136612.11,8093356.412,N,1,0.273265843
12,10,2021,10756445.42,8444059.557,N,2,0.214976768
